Variable,Label,Values
session_id,Participant session id,
usresorcit,Whether participant is a US resident or citizen,"0= Not a citizen or resident, 1=citizen or resident"
Race,Participant Race,
Condition,Condition,
ConditionNum,Condition (Numeric Coding),"Condition: -1= Bad, 1=Good"
ErrorPct,Percent of Trials With Error,
TooFast,Percent of Trials Deemed Too Fast,
WhiteAsianBIAT,BIAT contrast score for Whites vs. Asians,
WhiteHispBIAT,BIAT contrast score for Whites vs. Hispanics,
WhiteBlackBIAT,BIAT contrast score for Whites vs. Blacks,
AsianHispBIAT,BIAT contrast score for Asians vs. Hispanics,
AsianBlackBIAT,BIAT contrast score for Asians vs. Blacks,
HispBlackBIAT,BIAT contrast score for Hispanics vs. Blacks,
WhiteImpAgg,White MC-IAT aggregate score,
HispImpAgg,Hispanic MC-IAT aggregate score,
AsianImpAgg,Asian MC-IAT aggregate score,
BlackImpAgg,Black MC-IAT aggregate score,
WhiteAsianExp,Explicit preferences for Whites vs. Asians,
WhiteHispExp,Explicit preference for Whites vs. Hispanics,
WhiteBlackExp,Explicit preference for Whites vs. Blacks,
AsianHispExp,Explicit preference for Asians vs. Hispanics,
AsianBlackExp,Explicit preference for Asian vs. Black,
HispBlackExp,Explicit preference for Hispanics vs. Blacks.,
WhiteExpAgg,Aggregate explicit preference for Whites,
BlackExpAgg,Aggregate explicit preference for Blacks,
AsianExpAgg,Aggregate explicit preference for Asians,
HispExpAgg,Aggregate explicit preference for Hispanic,
CondxImpWA,Condition by BIAT Interaction- White vs. Asian,
CondxImpWH,Condition by BIAT interaction- White vs. Hispanic,
CondxImpWB,Condition by BIAT interaction- White vs. Black,
CondxImpAB,Condition by BIAT interaction- Asian vs. Black,
CondxImpHB,Condition by BIAT interaction- Hispanic vs. Black,
CondxImpAH,Condition by BIAT interaction- Asian vs. Hispanic,
Age,Participant Age,
Gender,Participant Gender,"1=Female, 2=Male, 3= Trans FTM, 4=Trans MTF"
Ethnicity,Participant Ethnicity,"1=Hispanic or Latino, 2= Not Hispanic or Latino, 3=Unknown"
RaceFull,Participant Race Response,
