Variable,Lable,Values
session_id,Participant session_id,
TooFast,Percentage of BIAT trials that were too fasy,
StraightGayBIATGood,Good-focal BIAT score for straight vs. gay people,
StraightGayBIATBad,Bad-focal BIAT score for straight vs. gay people,
StraightGayExp,Explicit preference for straight vs. gay people,
TempGay,Thermometer report towards gay people,"Temp: -5=Extremely cold, 0= Neither warm nor cold, 5= Extremely warm"
TempStraight,Thermometer report towards straight people,"Temp: -5=Extremely cold, 0= Neither warm nor cold, 5= Extremely warm"
citizenship,Participant country of citizenship,
residence,Participant country of residence,"""sm""= Same as citizenship"
uscitorres,Whether participant is an American citizen or resident,"1=US citizen or resident, 0= Not a US citizen or resident"
SexualOrientation,Participant sexual orientation,"1= Straight, heterosexual, 2= Gay or Lesbian, 3= Bisexual, 4=Asexual, 5=Questioning"
SexualOrientationRecode,Recoded participant sexual orientation,"1= Straight, heterosexual, 2= Gay or Lesbian, 3= Bisexual,Asexual, or Questioning"
Ethnicity,Participant ethnicity,"1=Hispanic or Latino, 2=Not Hispanic or Latino, 3= Unknown"
Race,Participant Race,
Gender,Participant Gender,
Age,Participant Age,
ThermDiff,Difference score from thermometers (Straight - Gay),
