session_id,TooFast,StraightGayBIATGood,StraightGayBIATBad,StraightGayExp,TempGay,TempStraight,citizenship,residence,uscitorres,SexualOrientation,SexualOrientationRecode,Ethnicity,Race,Gender,Age,ThermDiff
2518809,.734375, , , , , ,.,., ,., ,3,.,f,20, 
2526323,0,1.5495089872987,1.16715114322616, , , ,.,., ,., ,.,.,.,36, 
2543728,0,1.38582880629063,1.3731024166163,3,0,5,.,., ,., ,.,.,., ,5
2560804,0,.818726810582961,.818726810582961, , , ,us,us,1, , ,2,Black or African American,f,29, 
2519401,0,.38652127840286,1.27656143427994, , , ,us,us,1,., ,2,Black or African American,m,61, 
2526733,.90625,.396491543912584, , , , ,us,sm,1,., ,2,Black or African American,m,25, 
2526419,0,-.127241581359207,.351456780021545, , , ,us,sm,1,., ,2,Black or African American,f,23, 
2559876,0,.79197587731728,1.08857617593101, , , ,us,us,1,., ,2,Black or African American,f,28, 
2544949,0,.0180909463834802,.107254200643996, , , ,us,us,1,., ,2,East Asian,f,19, 
2544533,.6484375,-.618096737978407,-.0170907698629658, , , ,au,sm,0,., ,2,More than one race - Black/White,m,28, 
2555177,0,.27718530357766,.27718530357766, , , ,us,us,1, , ,2,More than one race - Other,m,44, 
2538678,0,-.363038823700401,-.098051857661317,0,5,5,us,sm,1,., ,2,Other or Unknown,f,21,0
2533809,0,.124395141317237,.689949335281957, , , ,us,sm,1,., ,1,Other or Unknown,f,20, 
2568538,.578125,-.527628898890046,.916750974270654,2,5,5,sa,us,1,., ,3,Other or Unknown,m,18,0
2518379,.4921875,-.0375150242876938, , , , ,no,ca,0,., ,3,South Asian,f,24, 
2525587,0,-.27042871502132, , , , ,es,es,0, , ,1,White,f,20, 
2569264,0,.363822894260708, , , , ,us,us,1, , ,.,White,m,19, 
2519947,0,1.01385677520209,.989072374233666, , , ,uk,uk,0,., ,2,White,m,30, 
2523737,.025,-.401425274836882,.582483033687682, , , ,lt,lt,0,., ,2,White,f,23, 
2525392,0,.26079572118859,.836176585844707, , , ,us,sm,1,., ,.,White,m,34, 
2526168,.0078125,-.148998790453089,.604503613306013, , , ,us,sm,1,., ,2,White,f,22, 
2528257, , , ,0,0,0,us,sm,1,., ,2,White,f,42,0
2534038,.125,-.518183122918524,1.10248314066035,0,5,5,us,us,1,., ,2,White,f,48,0
2534379,0,.533917346195515,.451215628357552, , , ,us,us,1,., ,2,White,f,29, 
2549192,0,-.427921799074836,.473308821626165, , , ,us,us,1,., ,2,White,f,19, 
2549796,.0078125,.468399743785092,.519107992387886, , , ,us,sm,1,., ,.,White,m,18, 
2559765,.015625,.642811838403057,.764284240635261, , , ,ca,ca,0,., ,2,White,f,20, 
2553575,0,-.153230689268329,.540733347640031, , , ,uk,sm,0,., ,2,White,m,20, 
2562604,.640625,.862154106751029,.862154106751029, , , ,us,us,1,., ,2,White,f,18, 
2559621,0,.246856898386383,1.07561569189333, , , ,us,sm,1,., ,.,White,f,20, 
2560216,0,.131349227649625,-.244890373125716,0,0,0,us,sm,1,., ,2,White,m,22,0
2564587,0,.672787960440821,.683381837133668, , , ,us,sm,1,., ,2,White,f,49, 
2569033,0,.297708482175126,.193953952076637, , , ,us,us,1,., ,1,White,m,37, 
2519054,0,-.314459581850659,-.0787737433732948,0,0,0,tr,tr,0,1,1,.,.,m,39,0
2541158,0,-.136135524554892,.379711139873122,0,0,0,us,us,1,1,1,.,.,f,50,0
2517788, , , ,0,4,4,.,., ,1,1,.,.,., ,0
2523128, , , ,0,0,0,uk,sm,0,1,1,.,.,f, ,0
2517908,0,-.49796163280417,.889194702968293,0,4,4,.,., ,1,1,.,.,.,24,0
2518382,0,.936147716138276,.653637419437121,0,3,5,us,us,1,1,1,1,.,f,24,2
2519180,0,.20651429330772,.511952902073814,1,0,0,.,., ,1,1,.,.,f,21,0
2519655,0,-.448792100386056,-.0574134585753225,0,5,5,.,., ,1,1,.,.,f,26,0
2519657,0,-.0466074834670458,.591044361741657,0,4,4,.,., ,1,1,.,.,.,20,0
2519833,0,.912895562386335,-.00472047763639323,1,0,0,.,., ,1,1,.,.,m,26,0
2519990, ,.721437766812371,.721437766812371,2,-1,5,.,., ,1,1,.,.,f,31,6
2520547,0,-.235429189688082,.871121635373171,1,-1,1,.,., ,1,1,.,.,m,41,2
2520841,0,-.0209637380856131,-.213780135067467,0,0,0,.,., ,1,1,.,.,f,24,0
2521956,0,.741742190908692,.183488386192343,0,5,5,.,., ,1,1,.,.,f, ,0
2522679, , , ,0,5,5,us,us,1,1,1,1,.,f,19,0
2522871, , , ,3,-3,5,.,., ,1,1,.,.,f,21,8
2524028,0,-.221502871910168,.0829268520506394,0,5,5,.,., ,1,1,.,.,., ,0
2525106,0,.512335779481638,.280474018254854,0,1,4,us,sm,1,1,1,2,.,m,61,3
2525354, , , ,2,1,5,.,., ,1,1,.,.,., ,4
2526061,0,-.643612299885714,.140397857418219,0,0,0,.,., ,1,1,.,.,f,41,0
2527509,0,.10697868263878,.876981018674923,3,-5,5,.,., ,1,1,.,.,., ,10
2527500,0,.440958466340973,.168508065849519,2,3,4,.,., ,1,1,.,.,., ,1
2527852,0,-.290399834770375,.0843978422044779,0,5,5,.,., ,1,1,.,.,f,18,0
2529997,.8671875,-.0761941830971836,-.0761941830971836,0,4,5,.,., ,1,1,.,.,f, ,1
2532729,.0078125,1.12008338648342,1.23189528610946,2,2,5,.,., ,1,1,.,.,.,21,3
2534125, ,.0384662430422034,.0384662430422034,0,5,5,.,., ,1,1,.,.,m,36,0
2534193,0,-.416344764733395,.225875574298862,0,4,4,.,., ,1,1,.,.,m,36,0
2537243, ,-.196245662418409, ,0,3,4,.,., ,1,1,.,.,., ,1
2540400,0,.0397539713685617,.147309358076386,0,0,0,.,., ,1,1,.,.,f,25,0
2540569,0,-.226182588868218,.100157424332666,1,0,4,.,., ,1,1,.,.,.,19,4
2541709,1, , ,0,0,0,.,., ,1,1,.,.,.,28,0
2542449, , , ,2,0,0,us,.,1,1,1,1,.,m,18,0
2543665,0,.547478875636029,.65148118323999,3,2,4,.,., ,1,1,.,.,., ,2
2544536,.0078125,.11176786622298,.138644079556135,3,3,5,.,., ,1,1,.,.,.,18,2
2552376,.0078125,.131917498492509,.155210030060956,0,3,3,.,., ,1,1,.,.,f,18,0
2552424,0,.292409683581448,.206601355400448,0,0,0,.,., ,1,1,.,.,f,18,0
2556799,0,.572669631891508,.274390229079425,1,3,4,ec,us,1,1,1,1,.,m,45,1
2556983,0,.97803686840974,1.40246967964382,0,1,5,.,., ,1,1,.,.,., ,4
2560281, , , ,-2,5,5,.,., ,1,1,.,.,f,21,0
2560882, , , ,1,2,3,us,sm,1,1,1,1,.,f,18,1
2565236,0,.238153365867688,.326053943250854,0,0,0,.,., ,1,1,.,.,f,31,0
2565259,0,.354129304702026,.776756227778223,3,-1,3,de,de,0,1,1,.,.,f,20,4
2568867, ,.872433025476197,.872433025476197,0,3,4,.,., ,1,1,.,.,.,20,1
2518390,0,.645921233567962,.419843125332939,1,-2,0,mx,mx,0,1,1,1,American Indian/Alaska Native,m,28,2
2520252,0,-.15439178407666,.250610849482473,-1,0,0,us,us,1,1,1,2,American Indian/Alaska Native,m,23,0
2536750,0,.0174180995645304,.595856427737909,1,0,3,us,sm,1,1,1,2,American Indian/Alaska Native,f,29,3
2540423,0,-.176058842648363,.277088698419192,0,0,0,ca,sm,0,1,1,.,American Indian/Alaska Native,f,28,0
2540564,0,-.0411936191812937,.554036419142227,0,0,0,us,us,1,1,1,1,American Indian/Alaska Native,f,35,0
