session_id,RaceEthCategory,WhiteCondition,TooFast,WhiteBlackBIATGood,WhiteBlackBIATBad,WhiteAsianBIATGood,WhiteAsianBIATBad,WhiteHispanicBIATGood,WhiteHispanicBIATBad,AsianNeg,AsianPos,BlackNeg,BlackPos,HispNeg,HispPos,WhiteNeg,WhitePos,AsianCulturalWarmth,BlackCulturalWarmth,HispCulturalWarmth,WhiteCulturalWarmth,WhiteAsianCultPref,WhiteBlackCultPref,WhiteHispCultPref,WhiteAsianExp,WhiteBlackExp,WhiteHispExp,Age,Citizenship,Residence,Ethnicity,Race,Gender,CultPrfWhite,PrefWhitePos,PrefWhiteNeg
7228935,Hispanic, ,0, , , , ,.326804355125517,.0959912653446589, , , , ,1,4,1,4, , ,2,3, , ,2, , ,-1,54,us,us,1,White,f,2,0,0
7228981,Hispanic, ,0, , , , ,-1.06085508466561,-.337694827596722, , , , ,2,4,3,2, , ,2,7, , ,3, , ,-2,29,us,us,1,Other or Unknown,f,3,-2,-1
7229005,Black, ,0,-.619829023230276,-.142198909156789, , , , , , ,2,5, , ,2,5, ,1, ,7, ,3, , ,0, ,29,us,sm,2,Black or African American,m,3,0,0
7229077,White,Asian, , , , , , , ,3,3, , , , ,3,4,3, , ,7,3, , ,1, , ,28,us,sm,2,White,f,3,1,0
7229109,White,Asian,0, , ,.0166607597749552,-.253481014325767, , ,1,4, , , , ,1,3,4, , ,4,1, , ,0, , ,36,us,sm,3,White,m,1,-1,0
7229184,White,Asian,.0234375, , ,.764780596131884,.908340310044876, , ,1,3, , , , ,1,5,3, , ,7,2, , ,0, , ,19,us,sm,2,White,f,2,2,0
7229294,White,Asian,0, , ,-.918629686838372,-.317750767858568, , ,1,3, , , , ,1,3,3, , ,3,2, , ,0, , ,19,us,us,2,White,f,2,0,0
7229296,White,Asian, , , , , , , ,3,3, , , , ,3,3,4, , ,6,1, , ,0, , ,19,us,sm,2,White,m,1,0,0
7229302,White,Hispanic, , , , , , , , , , , ,2,1,2,1, , ,3,7, , ,2, , ,1,38,us,sm,.,White,m,2,0,0
7229331,Hispanic, ,0, , , , ,.827239955550326,-.0916854652616386, , , , ,4,3,4,3, , ,4,3, , ,2, , ,0,22,us,sm,1,More than one race - Other,f,2,0,0
