 session_id , block_name, block_trial_count, block_pairing_definition, study_name, task_name, trial_number, trial_latency, trial_error
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,0,2246,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,1,1354,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,2,2957,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,3,900,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,4,1311,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,5,834,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,6,904,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,7,843,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,8,754,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,9,842,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,10,625,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,11,735,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,12,881,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,13,713,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,14,683,0
648020,BLOCK0,16,"Positive Words,Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,15,687,0
648020,BLOCK1,20,"Judaism/Positive Words,Christianity/Negative Words",ybalab.tal.cjbat.0001,rel2h_cbjbcgjg,0,1267,0
