session_id,Location,Sample,TooFast,ChristJewBIATGood,ChristJewBIATBad,ChristJewExp,ChristianNeg,ChristianPos,JewishNeg,JewishPos,ChristianCultWarmth,JewishCultWarmth,ChristJewCultPref,Age,Gender,Religion,Religiosity,PrefJewPos,PrefJewNeg,CultWarmthDifference
648020,IS,BGU,0,1.2228082821573,1.11515342481995,3,2,2,1,5,4,7,2,33,m,1,3,3,1,3
648021,IS,BGU,0,-.395062006843257,.649306565788458,0,1,3,2,3,3,7,3,26,f,1,1,0,-1,4
648022,IS,BGU,.015625,.772927306026585,.869418690458041,1,3,5,2,5,3,3,2,24,f,1,2,0,1,0
648023,IS,BGU,0,-.324402678146859,.844144415812943,0,1,5,1,5,7,7,0,24,f,1,2,0,0,0
648024,IS,BGU,0,.206895317812746,.398800511100389,0,1,3,3,3,4,5,1,29,m,1,1,0,-2,1
648027,IS,BGU,.0078125,.525996367483098,.566114275907481,1,2,4,2,4,2,7,3,27,f,1,1,0,0,5
648087,IS,BGU,0,.599052942436207,-.622846749191491,1,2,5,2,5,7,7,0,25,f,1,1,0,0,0
648091,IS,BGU,0,.798068721531676,.725740595906289,3,1,4,1,5,4,3,3,25,f,1,1,1,0,-1
648092,IS,BGU,0,.794181200282416,.829470395905347,0,1,5,3,3,4,6,1,24,m,1,1,-2,-2,2
648095,IS,BGU,0,.221111848881975,.326621233581425,0,4,2,2,3,4,7,3,26,m,4,1,1,2,3
648107,IS,BGU,.140625,.711033537341826,.816003323142855,1,1,4,2,4,7,7,3,26,f,1,1,0,-1,0
648108,IS,BGU,0,.91426280124722,.151338078031673,3,1,4,1,5,4,7,3,24,f,1,1,1,0,3
648124,IS,BGU,.0078125,.0599679307596462,.583201601490782,1,1,4,1,5,2,7,1,27,f,1,3,1,0,5
648125,IS,BGU,0,.424422313799868,.549489242418319,0,2,2,3,2,4,5,0,26,m,1,1,0,-1,1
648130,IS,BGU,.0234375,.767293466898208,.502517571979674,2,3,2,1,4,4,7,3,23,f,1,3,2,2,3
648131,IS,BGU,.0078125,.6800849491689,.267794752284712,0,2,2,2,2,4,7,3,23,f,1,1,0,0,3
648133,IS,BGU,.0078125,.930658943765528,.699469232044122,3,1,4,1,5,5,3,2,24,m,1,2,1,0,-2
648514,IS,BGU,.03125,.147244887987806,.236047120307599,0,1,3,3,2,4,7,3,25,f,1,1,-1,-2,3
7145770,US,PI, , , ,2,3,2,2,2,2,7,3,21,m,5,1,0,1,5
7147365,US,PI, , , ,1,3,3,2,3,5,7,0,19,m,4,1,0,1,2
7149475,IS,BGU,.0078125,.591856885230452,.720708028877011,0,4,4,2,4,6,6,2,27,m,1,1,0,2,0
7149478,IS,BGU,.0078125,.187224636337006,.626438109130322,1,2,3,2,3,4,6,2,26,m,1,1,0,0,2
7149504,IS,BGU,0,.644391727410412,.241600817255426,0,1,3,1,4,4,7,2,26,m,1,1,1,0,3
7149513,IS,BGU,0,-.13335933377828,.270115141050427,2,1,4,1,4,7,7,1,25,m,1,1,0,0,0
7151165,IS,BGU,0,.802549796566238,.622279760040131,2,1,3,2,5,4,7,3,25,m,1,3,2,-1,3
7151199,IS,BGU,0,.746330253156649,.287875252234187,0,1,3,1,4,4,7,0,27,f,1,1,1,0,3
7151202,IS,BGU,0,.688388328816937,.619577088557012,2,1,2,1,5,4,7,3,24,f,1,1,3,0,3
7151229,IS,BGU,0,.477352081215073,.751640124429763,0,1,4,1,5,4,7,1,25,f,1,3,1,0,3
7151241,IS,BGU,0,-.110076514048235,.377520275231399,0,3,3,2,4,5,5,3,25,m,1,1,1,1,0
7151385,IS,BGU,.0078125,.34775393592969,.0940174505632722,0,1,4,2,3,3,7,3,26,f,1,1,-1,-1,4
7151388,IS,BGU,0,.792931624150194,1.17659204721174,3,1,4,1,4,4,7,3,28,f,1,2,0,0,3
7151430,IS,BGU,0,.787737187242095,.560294511113827,1,2,3,2,4,4,7,2,24,f,1,2,1,0,3
7151434,IS,BGU,0,.267821102295163,.518604819717417,0,2,3,2,3,3,7,3,30,m,1,1,0,0,4
7151505,IS,BGU,0,.361281751672579,.253047234529243,0,3,2,3,3,4,7,1,23,m,1,2,1,0,3
7151539,IS,BGU,.0234375,.841766934196952,.885904477577336,3,1,2,2,4,4,6,3,24,f,1,3,2,-1,2
7151622,IS,BGU,.0859375,.424389821195732,-.190748746203594,3,1,5,1,5,4,7,3,25,m,1,1,0,0,3
7151726,IS,BGU,.015625,.582490779260998,.371245132014984,0,1,4,5,5,2,7,3,23,f,1,1,1,-4,5
7152294,US,PI, , , ,0,1,1,1,2,4,4,-2,24,m,5,3,1,0,0
7152597,US,PI, , , ,1,3,3,1,3,4,5,1,19,f,4,3,0,2,1
7153550,IS,BGU,0,.759776805641437,.706129215739882,0,2,4,2,4,3,7,2,23,f,1,1,0,0,4
