session_id,location,locationnum,TooFastIAT,TooFastBIAT,IATD,BIATGood,BIATBad,dem_age,dem_citizenship,dem_ethnicityomb,dem_raceomb,dem_sex,ExpPref,ATB
7454593,web,1,.225,.0390625,-.341732245911955,-.388781900969032,.632872290241839,20,1,2,5,1,-3,5.6
7550129,lab,0,.0333333333333333,.0703125,.00979654400555384,.169355409788398,.4045338094857,20,1,2,2,1,-2,5.7
7459943,web,1,.0166666666666667,0,.262009598236485,.236650952626627,-.343889349398761,18,187,2,5,1,-2,6.3
7444382,lab,0,0,.0078125,.234496947832448,-.888633970057235,.205532876632802,18,1,2,5,1,-2,6.3
7459730,web,1,.0166666666666667,.0078125,.237861293131395,.116677071977107,-.280957135376635,18,1,2,5,1,-1,5.35
7558677,web,1,.00833333333333333,.015625,.28587358269718,.855204872109337,.966264997589097,20,2,2,7,1,-1,5.4
7454670,lab,0,.0166666666666667,.03125,.269614075151732,.158775382060927,.0456374403255462,18,1,2,6,1,-1,6.4
7450627,web,1,.00833333333333333,.0078125,.679609962430024,.852644220960087,.318611924943945,18,1,2,6,2,-1,6.45
7460110,lab,0,.00833333333333333,.03125,-.493829149114953,.434960618819386,.1359911522206,20,1,2,7,1,-1,6.55
7440938,lab,0,0,.0078125,.439371543686408,.513915272008668,.624911582995955,18,1,2,5,1,-1,6.6
7459938,lab,0,0,0,.628977931640375,.277816741008784,.386335933961111,21,37,2,2,2,0,2.35
7554454,lab,0,.00833333333333333,0,.28421923127577,.703719844189637,.374369433565824,18,1,2,6,1,0,4
7547596,web,1,.15,.109375,.670244868073035,.244195936173457,-.0589808250245518,17,1,2,2*4,2,0,4.3
7451738,lab,0,.00833333333333333,.0390625,.913822384494695,.861861180372031,.851965357792363,20,92,2,2,1,0,4.35
7457750,lab,0,0,.078125,1.10491187478894,1.11938514640845,.539091874640662,18,1,2,6,2,0,4.4
7444459,lab,0,.0166666666666667,0,.62279324156803,.722762946002346,.781881336989631,18,1,2,6,1,0,4.6
7552011,lab,0,0,.03125,.767615349669972,.597362220653116,.631327774862117,18,1,1,2,1,0,4.7
7462626,web,1,.0666666666666667,0,-.104125894887091,-.0812135712683237,-.489909711064999,19,1,2,6,2,0,4.8
7440528,lab,0,.025,.03125,.0918081956280423,.626416137337035,-.453523066850722,18,22,1,7,1,0,4.8
7558924,lab,0,0,0,1.072456382157,.507947454245077,-.110472697457578,19,1,2,6,2,0,4.95
7443965,lab,0,0,0,.427907401864391,.92291243574389,.474440037123685,32,1,1,6,1,0,4.95
7451378,lab,0,0,.0078125,.550914793699053,.477779013669887,-.0760407064009892,18,1,2,6,1,0,5.05
7552191,lab,0,0,0,.883654650847749,.224368909429705,.654889359290201,19,1,2,6,1,0,5.05
7455139,lab,0,.00833333333333333,.0234375,.48010332157936,.496161768013687,.192279825647016,18,1,2,3*4,1,0,5.15
7549419,web,1,0,.0234375,.406654051017603,.209631611975184,.326035815276651,18,1,1,6,1,0,5.2
7449276,web,1,0,0,.618187924923984,.553684288857801,.326835144246282,18,1,2,6,1,0,5.2
7444146,lab,0,.00833333333333333,.0078125,.668186334059103,-.341042929042357,.33093096858025,18,1,2,5,1,0,5.2
7460107,lab,0,0,0,.419623135154794,.526293313283099,.337025598393076,18,1,2,6,2,0,5.2
7556766,lab,0,0,.0078125,.705305857613212,.0616605713444264,.527655420105873,19,1,2,2,1,0,5.25
7553320,web,1,0,0,.120667450137143,.0187880405545334,1.05814998126578,19,1,2,6,2,0,5.25
7451377,lab,0,0,0,.612078280818195,.373835391802041,.395352270240682,18,188,2,6,1,0,5.3
7440936,lab,0,0,.0078125,.597471218810003,-.26655486990552,.663619142845493,18,1,2,6,1,0,5.3
7459936,lab,0,0,.0390625,.438677758139876,.133698730066912,.231630827963499,18,1,2,6,2,0,5.35
7554223,web,1,0,0,.573946750383111,.749316070663263,-.412218743732365,19,1,2,6,2,0,5.4
7460030,lab,0,.00833333333333333,0,.867199083404375,.606564417017091,.345390908742091,18,1,2,2,1,0,5.45
7454273,web,1,0,.0625,.325214146694297,.24135461065802,.535844361043981,18,1,2,6,1,0,5.45
7549568,lab,0,.0416666666666667,.0234375,-.0342903634126655,-.22267922936546,-.029447405722969,18,1,2,6,1,0,5.5
7549540,lab,0,0,.0078125,.69721782941386,-.062792102838894,.438692868246311,20,1,2,6,2,0,5.5
7554478,lab,0,0,0,.26190130922494,-.280537031764152,.0139996024411896,18,1,2,6,1,0,5.6
7549519,lab,0,.00833333333333333,.03125,.43819853015302,.938025265752226,.289096513387497,20,1,.,2,1,0,5.6
7552187,lab,0,0,.015625,.527604998425693,.559687106877251,.582362603550413,19,1,3,6,2,0,5.6
7462549,lab,0,0,0,.586942724615921,.325711518351923,.268968744883291,18,1,2,6,2,0,5.65
7459700,web,1,.00833333333333333,.0546875,.246224563375451,-.044160375451176,.412625472899638,19,1,2,6,2,0,5.65
7452206,lab,0,0,0,.241707990841116,-.6152345875868,.228240738997791,18,1,2,2,1,0,5.7
7462620,web,1,.00833333333333333,.03125,.516785462324889,.336985662137093,.243871610895309,18,32,2,2,2,0,5.7
7449239,web,1,.00833333333333333,.0078125,.0285321246949378,.108161234917061,.281233066981551,18,176,2,2,1,0,5.7
7462312,web,1,0,0,.233454756018762,.873429622266692,-.37000086688587,19,188,1,.,1,0,5.75
7447091,lab,0,0,0,.750200225153344,.125207298665092,-.148915604553638,18,1,2,6,1,0,5.75
7437226,web,1,0,0,.214761190437394,.29588705085843,.384170800584168,18,1,2,6,1,0,5.75
7437553,web,1,0,0,-.559190179860804,-.045138719874403,.779690998119361,18,1,2,6,1,0,5.75
7549537,web,1,0,.0078125,.229690248934262,.162257303803863,.0698984814759158,18,1,2,6,1,0,5.8
7454762,lab,0,0,0,.401391724582204,-.256070278022996,.635232689600171,23,1,3,3,1,0,5.9
7558922,lab,0,.0333333333333333,.0546875,.239551372481455,-.316266237058258,-.00227642134605562,18,1,2,6,2,0,5.95
7553006,web,1,0,.015625,.739553688042498,.427205314876002,.0952618888014813,18,1,2,6,1,0,5.95
7457120,lab,0,.025,.0078125,.468051592538442,.0914560748385486,.259894537576708,18,1,2,6,1,0,5.95
7551320,web,1,.00833333333333333,.0390625,.245470950322598,.472394759145048,-.232796813153164,18,1,2,2,1,0,6
7449657,web,1,0,.0390625,.681060983628146,.139717232980138,.249131330842246,18,1,2,6,1,0,6
7457490,web,1,.025,0,.393279486275607,.390611482822145,.349826239737562,18,1,2,6,1,0,6
7462610,lab,0,0,.015625,.0974403440405618,.329914074370328,.391515000629658,19,1,2,2,1,0,6
7549637,lab,0,0,0,-.0203592563746513,-.0829649583524698,.522044432955514,18,1,2,6,1,0,6
7460028,lab,0,.0166666666666667,0,-.129130176205586,-.327329572093844,-.723291492766936,18,1,3,5,2,0,6.05
7458836,web,1,0,0,.459964540812043,.551047157286995,-.230581059939521,17,1,2,2,1,0,6.05
7438699,web,1,0,.0078125,.265754340998931,.414001751391219,.486669887813485,18,1,1,6,1,0,6.05
7455137,lab,0,0,0,1.02802183667333,.876984569433937,.542638112624365,18,188,2,5,1,0,6.05
7452948,web,1,0,0,.129732595979969,.641471206526811,.679284953643916,18,1,2,.,1,0,6.05
7452054,web,1,0,0,.632822493946116,.554322795068541,.912677407290341,18,1,2,6,2,0,6.05
7449264,web,1,.0416666666666667,.0546875,.313425920139939,.388348719467433,-.201851959677473,18,1,2,6,1,0,6.1
7459793,lab,0,.00833333333333333,.0234375,.253122470376623,-.0398552026913137,-.0425556669863537,18,1,2,6,1,0,6.1
7547638,web,1,0,0,-.156898583152723,.625197589704415,.0403568989744916,19,1,2,3*5,2,0,6.1
7446901,lab,0,0,0,.293681658213148,.24459562296881,.136701943249978,18,1,2,6,1,0,6.1
7451426,lab,0,0,0,1.02764378374074,.402190200917351,.187880394142687,18,1,2,6,2,0,6.1
7440779,lab,0,0,.0625,.403074541183574,.498005463046048,.322824030347245,18,1,2,5,1,0,6.1
7449500,web,1,0,0,.167225064386608,-.47104790150994,.610958688087966,17,188,2,5,2,0,6.15
7442778,web,1,0,0,.0538900258791347,.426313866068928,-.192997679728239,19,1,2,2,1,0,6.2
7559072,lab,0,0,0,-.255331697018765,.101769752721974,.00777578119993048,18,1,2,6,2,0,6.2
7554066,lab,0,0,0,.488215377774266,.729150125185626,.0185107416677551,18,1,2,6,1,0,6.2
7556490,lab,0,0,0,.456751627800872,.59047782587031,.208403579517958,18,1,2,6,1,0,6.2
7556432,lab,0,0,.03125,-.0959607726261839,.0712162352163129,.434523396258313,18,1,2,6,1,0,6.2
7559229,lab,0,0,.015625,.601239066833635,.826863587704614,.74133192533471,19,18,2,6,2,0,6.2
7460222,lab,0,.00833333333333333,.015625,1.52031158436915,.260608349794626,1.09455864965942,19,1,1,6,2,0,6.2
