Variable,Label,Values,
session_id,Participant session id,,
ErrorPct,Percent of Trials With Error,,
TooFast,Percent of Trials Deemed Too Fast,,
Condition,,,
ConditionNum,,"Condition: -1+Bad, 1=Good",
Age,Participant Age,,
Ethnicity,Participant Ethnicity,,"1=Hispanic or Latino, 2=Not Hispanic or Latino, 3=Unknown"
Race,Participant race (numeric coding),,
RaceFocal,"Whether participant is Asian, Black, White or Hispanic",,
Gender,Participant Gender,,"1=Female, 2=Male"
WhiteAsianBIAT,BIAT contrast score for Whites vs. Asians,,
WhiteHispBIAT,BIAT contrast score for Whites vs. Hispanics,,
WhiteBlackBIAT,BIAT contrast score for Whites vs. Blacks,,
AsianHispBIAT,BIAT contrast score for Asians vs. Hispanics,,
AsianBlackBIAT,BIAT contrast score for Asians vs. Blacks,,
HispBlackBIAT,BIAT contrast score for Hispanics vs. Blacks,,
WhiteImpAgg,White MC-IAT aggregate score,,
HispImpAgg,Hispanic MC-IAT aggregate score,,
AsianImpAgg,Asian MC-IAT aggregate score,,
BlackImpAgg,Black MC-IAT aggregate score,,
WhiteAsianExp,Explicit preferences for Whites vs. Asians,,
WhiteHispExp,Explicit preference for Whites vs. Hispanics,,
WhiteBlackExp,Explicit preference for Whites vs. Blacks,,
AsianHispExp,Explicit preference for Asians vs. Hispanics,,
AsianBlackExp,Explicit preference for Asian vs. Black,,
HispBlackExp,Explicit preference for Hispanics vs. Blacks.,,
WhiteExpAgg,Aggregate explicit preference for Whites,,
BlackExpAgg,Aggregate explicit preference for Blacks,,
AsianExpAgg,Aggregate explicit preference for Asians,,
HispExpAgg,Aggregate explicit preference for Hispanic,,
CondxImpWB,Condition by White-Black BIAT interaction,,
CondxImpWH,Condition by White-Hispanic BIAT interaction,,
CondxImpWA,Condition by White-Asian BIAT interaction,,
