Variable,Label,Values
session_id,Participant session id,
TooFast,Percentage of BIAT trials that were deemed too fast,
StraightGayBIATGood,Good-focal BIAT score for Straight vs. Gay people,
StraightGayBIATBad,Bad-focal BIAT score for Straight vs. Gay people,
StraightGayExp,Explicit preference for Straight vs. Gay people,
Age,Participant Age,
Citizenship,Participant country of citizenship (see materials for full coding),
Ethnicity,Participant ethnicity,"1=Hispanic or Latino, 2= Not Hispanic or Latino, 3=Unknown"
Race,Participant Race,
Gender,Participant Gender,"1=Female, 2=Male"
SexualOrientation,Participant sexual orientation,"1=Straight, heterosexual, 2=Gay or lesbian, 3=Bisexual, 4=Asexual, 5=Questioning"
TempGay,Thermometer rating towards Gay people,"Temp: -5=Extremely cold, 0=Neither warm nor cold, 5=Extremely warm"
TempStraight,Thermometer rating towards Straight people,"Temp: -5=Extremely cold, 0=Neither warm nor cold, 5=Extremely warm"
ThermDiff,Thermometer difference score (Straight - Gay),
