session_id,TooFast,StraightGayBIATGood,StraightGayBIATBad,StraightGayExp,Age,Citizenship,Ethnicity,Race,Gender,SexualOrientation,TempGay,TempStraight,ThermDiff
2571915,0,.244458568197841,.358128189316661,0,18,1,2,Black or African,2,1,3,3,0
2571916,.0078125,.306991671106323,.861987162110891,3,18,198,2,South Asian,1,1,-2,5,7
2571938,0,.696920547402573,.604852714611556,1,18,1,2,White or Caucasian,1,1,3,4,1
2571959,.0703125,-.0503285638017787,.756686713962066,1,18,37,2,East Asian,2,1,-1,0,1
2571986,0,.46494739772011,-.0579555000066969,0,18,1,2,White or Caucasian,1,1,5,5,0
2572018,.0078125,-.269876231294596,.231880505953924,0,18,1,2,White or Caucasian,1,1,5,5,0
2572020,0,.230686066313983,.238051705161557,1,18,1,2,White or Caucasian,2,1,0,4,4
2572050,0,.21867561954592,-.0414061487818452,0,18,1,2,White or Caucasian,2,1,4,4,0
2572052,.0078125,.776323445189656,.276235776272813,2,18,1,3,White or Caucasian,1,1,5,5,0
2572053,.015625,-.70631327270291,.00594548253823039,0,19,1,2,White or Caucasian,2,1,5,5,0
2572082,.0078125,-.708487842499993,-.472348186387627,0,18,1,2,Biracial,2,1,3,3,0
2572095,.015625,.0451203805881203,.106325235370478,-1,19,1,2,White or Caucasian,1,1,0,0,0
2572104,0,-.495379250109678,-.297330356229214,0,19,1,2,South Asian,2,1,5,5,0
2572108,.0859375,-.891947693878983,.357135039010289,0,22,1,2,East Asian,1,1,4,4,0
2572128,.015625,.477594521093122,.409294453497793,0,19,1,2,White or Caucasian,2,1,5,5,0
2572131,0,-.163212527540709,.877000504223007,1,21,1,2,South Asian,2,1,3,4,1
2572133,0,-.0846590651954812,.568341746760752,1,18,1,2,White or Caucasian,1,1,4,4,0
2572162,0,.319393735891848,-.275081440056359,0,28,139,1,Other or Unknown,1,1,4,4,0
2572163,0,.260643515256394,.964702486625804,0,18,1,3,White or Caucasian,1,1,4,4,0
2572167,0,.819813905473965,.615191587726743,1,21,188,2,White or Caucasian,2,1,0,1,1
2572193,.0390625,-.382201650862228,.0249260122064656,3,19,1,2,White or Caucasian,2,1,-3,5,8
2572197,0,1.19084862208833,.898292602513703,3,19,37,2,Other or Unknown,2,1,-5,4,9
2572208,0,.657750449798459,.337921631250168,2,18,37,2,East Asian,1,1,0,1,1
2572213,0,.30978703735715,.760140207581947,0,20,127,2,White or Caucasian,1,1,3,3,0
2572225,0,.516707368178483,.701838783112115,3,18,1,2,White or Caucasian,2,1,0,4,4
2572229,.1640625,-.0077258516698279,-.217036941759872,0,18,1,2,Biracial,1,1,4,4,0
2572237,.0234375,.495299932485182,.610845962050776,0,19,1,2,White or Caucasian,2,1,4,5,1
2572244,0,-.0785830679208415,.0662486545273614,0,18,1,2,White or Caucasian,1,1,5,5,0
2572248,.0390625,.459012138661868,-.00253369723707153,-2,19,1,3,South Asian,1,1,4,4,0
2572259,0,.694215944807895,.630661267397556,0,18,1,2,White or Caucasian,1,1,0,0,0
2572274,0,-.318921897794,.921940166615913,1,19,1,1,Other or Unknown,1,1,2,4,2
2572286,.1484375,1.09800060046739,.439914129247382,2,18,1,2,White or Caucasian,2,1,-2,5,7
