session_id,TooFast,WhiteBlackBIATGood,WhiteBlackBIATBad,WhiteAsianBIATGood,WhiteAsianBIATBad,WhiteHispanicBIATGood,WhiteHispanicBIATBad,BJWAgg,GBDAgg,PDAgg,SLBAgg,Conservatism,ExplicitPref,Age,CountryCit,Ethnicity,EthnicityBinary,Gender,Race,RaceMulti
8796300,0, , , , ,.84190624121266,.525874314293862,3.1, ,2.5, ,2,2,20,1,1,1,2,6,.
8796301, , , , , , , , , , , , , , , , , , , ,.
8796318,.015625, , ,-.19669050916614,-.402561285563836, , , ,1.875, ,2.41666666666667,5,0,22,1,2,2,2,6,.
8796345, , , , , , , , , , , , , , , , , , , ,.
8796349, , , , , , , , , , , ,4, ,26,1,2,2,1,6,.
8796355, , , , , , , , ,3.5, ,3.75,2,0,36,74,2,2,1,6,.
8796361,0, , , , ,.986500239721818,.368452058863294,4.6, ,2.33333333333333, ,4,0,17,1,2,2,2,6,.
8796363, , , , , , , , , , , ,4, ,22,1,2,2,1,6,.
8796393, , , , , , , , , , , ,4, ,17,1,1,1,2,7,.
8796398,.015625,.570927150155496,.178979366118788, , , , ,3.5, ,3, ,1,-1,27,1,2,2,2,5,.
8796413, , , , , , , ,3.35, ,2.5, ,4,-1,17,1,1,1,2, ,.
8796450, , , , , , , , , , , ,4, ,41,1,2,2,2,8,"""[2,6]"""
8796466, , , , , , , ,2.55, ,1.66666666666667, ,1,0,17,225,2,2,2,6,.
8796488,0, , , , ,-1.1982996760568,-1.02831008068332, , , ,1.25, , ,28,1,1,1,2,8,"""[1,6,7]"""
8796496,0,.256650485339624,.692733080083398, , , , ,4.4, ,3.33333333333333, ,6,1,20,1,2,2,1,6,.
8796523, , , , , , , , ,1.25, ,2.91666666666667,2,0, ,74,2,2,1, ,.
8796539,0,.361540551702139,.762335517833251, , , , ,4.8, ,2.66666666666667, ,4,0,17,1,2,2,2,6,.
8796541,0, , , , ,.237191896863938,-.093719259732152, ,3.125, ,3.58333333333333,4,1,17,1,1,1,1,8,"""[1,5,6]"""
8796554,0, , , , ,.0342201923441607,-.17309041476171,3.85, ,1.33333333333333, ,3,0,27,1,2,2,2, ,.
8796562,0, , ,.769505517413184,.724395780653475, , , ,2, ,3.08333333333333,4,1,23,1,2,2,1,6,.
8796576,0, , ,-.108171007607348,-.0816195370136933, , , ,1, ,3.75,5,0,15,1,2,2,2,6,.
8796597, , , , , , , , , , , ,5, ,21,225, , , , ,.
8796604,0,.581590988044811,-.154628133883108, , , , ,3.65, ,2.5, ,4,0,21,225,2,2,5,5,.
8796607,0, , , , ,.948868021458029,.566274981351774, ,3.125, ,4.58333333333333,4,0,16,1,2,2,2,7,.
8796636, , , , , , , , , , , ,1, ,22, , , ,2, ,.
8796665, , , , , , , , ,1, ,2.41666666666667,2,1,34,74,2,2,1,6,.
8796690,.0078125, , ,-.680730121084783,-.335411371254094, , ,2.4, ,2.66666666666667, ,2,-1,16,1,2,2,2,2,.
8796703,0,-.695871140801611,.222386809839623, , , , , ,1.5, ,1.33333333333333,1,2,44,74,2,2,5,6,.
8796735,0,-.0982803718055436, , , , , , , , , ,3, ,20,1,2,2,1,6,.
8796742, , , , , , , , , , , ,1, ,31,74,2,2,2,6,.
8796790, , , , , , , , , , , ,7, ,41,1,2,2,2,6,.
8796815,.765625, ,.101406798117118, , , , , ,1.125, ,3.41666666666667, ,1, , , , , , ,.
8796822,.0078125, , , , ,.294066292607051,-.119023065644738,3.8, ,2.66666666666667, ,4,0,29,1,1,1,2,8,[6]
8796852,0, , , , ,.386669900865915,-.40758203443032,4.65, ,1.66666666666667, ,3,0,36,1,2,2,1,6,.
8796856, , , , , , , , ,1.375, ,4.66666666666667,4,0,22,1,1,1,2,6,.
8796866,0, , ,.48245802055988,1.03089795050033, , ,3.95, ,3.33333333333333, ,6,2,20,39,2,2,1,2,.
8796902,0, , ,.175216113977846,.377779981004918, , ,4.05, ,1.66666666666667, ,3,0,51,1,2,2,2,6,.
8796950, , , , , , , , , , , ,3, ,40,74,2,2,1,6,.
