session_id,Ethnicity,Race,Gender,Age,TooFast,BabyAdultBIATGood,BabyAdultBIATBad,BabyAdultExp
9373503,3,6,f,51,0,.335262959344827,-.272532865026958,0
9373516,2,5,f,19,0,.22733626912073,.117007053518678,0
9373519,2,6,f,31,0,.775764026161691,.656931813586457,1
9373557,2,6,f,27,0,.78481945996477,.622842079888957,-3
9373561,2,6,f,18,0,.463104548597408,-.45440337791358,3
9373586,2,6,f,57,0,.0318655080259147,.841057162240186,-1
9373713,1,6,m,20,.046875,.392680759212991,-.251412126645809,0
9373734,3,8,f,18,.0703125,1.01950825813134,.46048479884905,1
9373737,2,6,f,18,0,.958448393524523,.57741785800761,1
9373740,2,6,m,44,.046875,.45727715985744,.590218494346032,-2
9373742,.,6,f,38,0,.457937631072073,.694149118477696,-2
9373808,.,6,f,25,0,.504257729914815,.698543864115559,0
9373819,2,6,.,18,.015625,-.49123889636091,-.0936138526439947,-3
9373850,2,6,f,51,0,.489758846578643,.940325557239533,0
9373899,.,6,f,46,0,.00547388353771081,.171906160218059,-1
9373927,2,6,f,43,0,.307612407537414,-.0395584219217917,-2
9373930,2,6,f,53,0,.10680851793191,.182812318465723,-2
9374031,2,6,f,49,0,1.09684896659339,.572920598083843,1
9374033,2,6,m,38,0,.412496267041596,.252895594355621,2
9374116,2,6,f,41,0,-.0495767396826513,.702538623526452,2
9374138,2,6,f,50,0,-.0121748822398648,.247653414852155,3
9374141,2,5,f,55, , , , 
9374166,.,.,m,47,.015625,-.723773756449851,.102652524800111,-2
9374235,2,6,.,33,0,.613540999917085,.507426411612061,2
9374246,2,6,f,51,.0078125,.553014898477364,.0854427217446672,0
9374247,2,6,m,34,.0625,.677886461281093,-.339220671714317,0
9374280,2,6,f,50,0,.219469383634593,-.17732520406563,3
9374329,2,6,m,21,0,-.10472666408608,-.417540767966424,-2
9374410,3,5,f,37,.0234375,.40642172227908,.660953407576083,-2
9374442,2,6,f,29,0,-.469951011209472,.251334272089975,2
9374450,2,6,f,18,.046875,.840277452369952,-.409367161182137,1
9374461,.,6,f,33,.0703125,.294745050095642,-.219157445211961,-2
9374536,3,6,f,41,0,.0938442126494201,.301474634280052,1
9374593,2,6,f,43,.0078125,.922882864356609,.335229575897824,-2
9374602,2,5,f,28,.0078125,.578621106911679,.854605049828421,3
9374617,2,6,f,37,0,-.408149908107995,.382595528871568,-1
9374665,2,8,f,27,0, ,.270939374738151, 
9374684,1,6,f,41,.015625,.475657012441488,.205903388519285,-1
9374725,2,6,f,59,0,.436068136613266,.199175740715234,-3
9374755,2,8,f,41,0,.31529659557041,.283826396258902,3
9374777,2,8,m,22,.015625,.165986550817423,.868238870441632,0
9374800,1,9,f,32, , , , 
9374875,2,6,f,20,0,.595696410183529, , 
9374927,2,5,f,23,0,.100000732756438, , 
9374958,2,5,m,18,0,.413068334258502,-.99328797839442,1
