block_number, block_name, block_trial_count, block_pairing_definition, study_name, task_number, task_name, trial_number, trial_name, trial_response, trial_latency, trial_error, session_id 
2,Non-Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,39,noncelebrity3.jpg|,right,684,0,9380195
2,Good Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,36,Pleasant|,left,1130,0,9380195
2,Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,37,celebrity2.jpg|,left,932,0,9380195
2,Good Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,38,Wonderful|,left,1109,0,9380195
2,Good Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,40,Great|,left,1558,0,9380195
2,Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,41,celebrity3.jpg|,left,851,0,9380195
3,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,56,noncelebrity1.jpg|,left,1122,0,9380195
3,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,57,Unpleasant|,right,824,0,9380195
3,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,58,celebrity2.jpg|,right,617,0,9380195
3,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,59,Love|,left,821,0,9380195
3,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,60,celebrity3.jpg|,right,624,0,9380195
3,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,61,Great|,left,972,0,9380195
3,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,62,noncelebrity3.jpg|,left,673,0,9380195
4,Non-Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,67,noncelebrity2.jpg|,left,672,0,9380195
4,Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,64,celebrity4.jpg|,right,1994,0,9380195
4,Non-Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,65,noncelebrity3.jpg|,left,756,0,9380195
4,Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,66,celebrity2.jpg|,right,765,0,9380195
4,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,68,Love|,right,744,0,9380195
4,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,69,noncelebrity3.jpg|,left,1103,0,9380195
4,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,70,Wonderful|,right,723,0,9380195
4,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,71,celebrity3.jpg|,right,859,0,9380195
4,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,72,Unpleasant|,left,635,0,9380195
4,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,73,celebrity2.jpg|,right,589,0,9380195
4,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,74,Pleasant|,right,607,0,9380195
4,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,75,celebrity4.jpg|,right,697,0,9380195
4,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,76,Hate|,left,586,0,9380195
4,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,77,celebrity1.jpg|,right,822,0,9380195
4,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,78,Great|,right,609,0,9380195
4,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,79,noncelebrity4.jpg|,left,573,0,9380195
4,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,80,Awful|,left,856,0,9380195
4,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,81,noncelebrity2.jpg|,left,622,0,9380195
4,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,82,Terrible|,left,616,0,9380195
4,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,83,noncelebrity1.jpg|,left,517,0,9380195
3,Non-Celebrities|,20,Non-Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,43,noncelebrity2.jpg|,right,1232,0,9380195
3,Celebrities|,20,Non-Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,44,celebrity2.jpg|,left,1259,1,9380195
3,Non-Celebrities|,20,Non-Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,45,noncelebrity4.jpg|,right,1902,0,9380195
