session_id,Ethnicity,Race,Gender,Age,TooFast,CelebrityBIATGood,CelebrityBIATBad,CelebrityExp
9380195,2,5,f,18,0,.912728270500778,.382887502300136,2
9380247,2,6,f,20,0,.37022652548211,.913234471464159,1
9380270,2,6,f,21,.0234375,-.283464069820205,.380399297423407, 
9380310,2,6,m,35,0,.314094779873285,-.231880850606724,1
9380342,3,9,f,39,.296875,-.382747978691984,-.382055756913448, 
9380378,2,6,f,79,0,-.116713264148631,-.46880408474633,0
9380444,2,6,f,19,0,.607882657892913,-.328508909319242,1
9380461,2,5,f,18, , , , 
9380501,2,6,f,62,0,.996412730786995, ,0
9380529,2,8,f,57,0,-1.19449500199909,-1.13908307399548,0
9380778,2,6,f,38,.015625,.301739665100821, , 
9380864,3,6,f,37,0,.614679370321113,.681669488221124,-1
9380912,2,7,f,29,0,.644199689068027,-.110900111394338,0
9380951,2,6,f,29,0,1.319088899613, , 
9380974,2,8,f,37, , , , 
9381094,2,9,m,18,0,.310957284142204,.203443625476918,2
9381204,2,6,f,63,0,.38265284637153,.484705631426124,0
9381301,1,6,m,15,0,-.53892751109656,.568330331610346,-2
9381317,2,7,f,37,.0078125,.0231919052033496,.66779083902062,0
9381383,2,5,m,53,.03125, , , 
9381435,2,6,m,39,.0078125,.506682232526091,-.174468331212204,1
9381486,2,6,m,20,.895833333333333, , , 
9381609,1,9,f,18,.46875,.814751034048161, , 
9381636,2,6,m,21,.0078125,-.237529941103281,-.00178105232875614,1
9381654,2,5,f,46,0,-.080516600727276,.278645641930968,-2
9381754,2,6,f,27,0,1.28811601547839,1.26600863160259,0
9381767,2,6,m,19,0,.766847086923999,.327974801355181,-1
9381817,2,6,f,54,0,1.13534715994313,.0582975444143959,1
9381842,.,6,m,30, , , , 
9381925,2,5,m,39,.7265625,-.383439868477032, , 
9382004,2,6,m,36,0,.92483077745106,-.778775392960459,1
9382065,2,6,f,29,0,.602164971630409,.30486291924218,-1
9382083,2,6,f,51,0, ,.262077070767109, 
9382328,2,6,f,48,0,.900073909061109,.479752742139184,0
9382423,2,6,f,48,0,.39975755804823,-.299406498013074,-2
9382452,.,6,m,18,1, , ,0
9382454,2,6,f,20,0,.0636329799711104,-.39350049883083,-1
9382623,3,6,m,49, , , , 
9382637,2,5,f,45, , , , 
9382687,2,7,f,19,.03125,.857937465591857,.685754448698145,0
9382796,3,5,f,19,0,-.397743949933011,.180384005554657,0
9382857,3,8,f,22, , , , 
9382891,2,6,f,23,0,.499207525335381,.189473083802031, 
9382906,2,8,f,25,0,.443322056901854,.150420537207813,-1
9382979,1,9,f,46, , , , 
9383003,2,2,f,23,0,.576844808594212,.137924935966349,-2
9383042,2,6,f,23, , , , 
9383047,2,6,f,38,0,.381527156044195,.0990498949079008,-3
9383092,2,5,f,31,0,.0473585028526821,.0370450370255512,2
9383096,2,6,f,30,0,.95016699907268,.528203279118561,0
9383163,2,6,.,32,0,.406862661340802,.309489844051849,-3
9383517,2,6,m,24,0,.637778985012367,.363647596481416,1
9383550,2,6,m,53,0,.810424337071638,.102867347980353,-3
9383563,2,6,m,60,0, , , 
9383622,2,6,f,65,0,.837449479714407,.236103629583732,-1
9383766,2,6,f,24,0,-.32049584361149,-.309177082860376,0
9383781,2,6,f,23,0, ,-.288519649819481, 
9383977,1,6,f,29,.015625,.375525299540008,-.36683642606766,0
9383986,2,6,f,23,0,.288330071510789,-.0492683434809338,0
9384015,2,6,f,56,0,-.000249205835675621,-.114170568788053,0
9384017,2,6,f,48,0,.958100608986677,.39648258927008,1
9384058,1,6,m,29, , , , 
9384064,2,6,f,26,0,.161233209730654,.197517958710088,-1
9384081,2,6,f,65,0,.785663776311975,-.175996596494214,-2
9384167,2,6,f,65,0,.684269851519547,.158130014730628,0
9384168,2,6,f,60,0,.333603594887804,-.354268573750472,0
9384171,2,6,m,62,0,.618566729724385, , 
9384188,2,6,f,29,0,.865751087926332,-.0763741891790002,-1
9384220,2,6,f,26,0,.357801063089694,-.0447004205625588,-2
9384246,2,6,f,65, , , , 
9384281,2,2,f,61,0,.942919915516358,.47432807961527,0
9384286,2,6,f,23,.03125,.562036563823739,.666398485332301,-1
9384297,2,6,f,19,0,.475737897810857,-.226495571781914,0
9384315,2,6,m,43,.015625,1.25932911230952, , 
9384371,2,8,f,26,0,.834155769260306,-.00969593942684177,1
9384398,2,5,m,57,0,.728544227540315,.173745746997976,-1
9384549,2,6,f,28,0,.0886415779390994,-.257526439378236,0
9384565,1,8,m,30,0,.554192905873504,-.725173902330734,-2
9384657,3,6,m,17,.0078125,.818607142806474,.00961863216565006,2
9384718,2,2,f,22,0, , , 
9384738,2,6,f,27,0,.232212281314432,.458091686661081,-2
9384969,2,6,m,39,0,.850131691735441,-.702347016230127,1
9384989,2,6,f,45,0,.120745286583335,.610386480197403,-2
9385031,2,3,f,20,0,-.00590167921568371,-.0156758986491099,0
9385041,2,6,f,61,0,.852002260208787,.77903442187621,0
9385124,2,6,f,21,.0546875,.449445781123936,.687726035838139,3
9385145,2,6,m,21,.96875, , ,1
9385180,2,6,m,19,0,.311584369721017,.448453582524628,1
9385246,2,6,f,32,0,.728503044879461,-.296719962143587,0
9385306,3,6,f,36,0,.154223496219446,.127404196014662,-1
9385314,.,6,m,23, , , , 
9385324,2,6,f,55,0,-.190054267933667,.355096822809021,0
9385499,2,6,f,29,0,.54117467941171,.433769372558687,1
9385513,2,6,f,15,0,.660129334542207,-.121610669002143,0
9385514,2,7,f,18, , , , 
9385554,2,6,f,55,0,.946412136874573,-.334415016608048,-3
9385584,2,6,m,28,0,.370224568608347,-.0692095199652056,-1
9385613,2,6,f,21, , , , 
9385622,2,6,f,22,0,-.652518206194538,.26130113120101,0
9385674,2,3,m,50,0,.920868724021844,.0711866873344981,1
9385689,2,6,m,23,.015625,1.02916675327701,.440214464207661,2
9385792,.,6,m,52,0,.820890721870571,.255994098628558,-2
9385886,2,6,m,30,0,.483551285658984,.264302521514108,2
9385973,2,6,m,20,.0234375,.765899575606222,.360438332717769,0
9385994,2,6,f,18,0,.38324993600111, , 
9385995,2,6,f,43,0,1.14377145149384,.660873214178817,1
9386039,3,6,m,24,.25,-.736187568530864, , 
9386043,2,6,f,25,0,.937174367917231,.20782845832006,0
9386127,2,3,f,15,0,.0251812330147531,.100160658302473,3
9386307,2,6,m,61,0,1.29102658459666,.0516168840103015,0
9386389,2,6,m,35,0,-.152631959621366,.573925245335741,-2
9386452,2,6,f,33,0,.661424154325448,-.0604451737764233,0
9386720,2,6,f,32,0,.842912627100741,-.0567260533293644,1
9386753,2,6,f,44,.0078125,.915281214268288,-.32404196076878,0
9386839,3,6,f,20,0, , , 
9386847,2,6,f,21, , , , 
9387001,2,6,m,59,0,.98733283594968,.159762148178511,0
9387005,2,6,f,18,0,.43460058295732,.121148558195877,0
9387023,2,6,f,45,0,.100902059552892,.729968515663129,-2
9387061,3,9,f,27,0,.639148980233449,-.142234385536034,1
9387081,2,6,f,29,0,.271141362107948,-.0528691027627605,1
9387244,.,6,f,32,0,-.293094834851158,.086714417358416,-2
9387261,2,6,f,34,0,.460289683184229, , 
9387351,1,.,m,19,.0234375,.501097458996264,-.4647008988876,-1
9387556,1,6,f,38,0,.220033305654338,.840800643169317,0
9387681,2,6,f,31,.015625,.593404487368119,-.788400990323166,-1
9387776,2,6,f,33,0,1.20154044544786,1.11323941903344,1
9387822,2,6,m,54,0,.418321340141494,-.422306555090687,-1
9387834,3,6,m,31,0,.783603727652323,.197690399268025, 
9387840,2,6,f,23,.234375, ,1.19801270612906, 
9387881,2,2,f,23,0,.471959269219502,.496921368397596,1
9387887,2,6,f,46,.0078125,.838542266594533,-.12139697108737,-3
9387894,1,9,f,25,.96875, ,-.0760285526013387,0
9387920,2,6,f,22,0,.738101015180278,-.000208622403346563,2
9388014,2,6,f,22,0,-.148610394648526,.656412747317599,1
9388016,2,6,f,18,0,.356567921499028,.419216697424687,1
9388047,2,6,f,36,0,.341074530574578,-.545885775895291,-3
9388056,2,6,f,27,.015625, ,-.167452947758691, 
9388070,2,5,m,20,0,1.22250011295142,-.480836852956506,1
9388082,2,6,f,18,0, ,.285215183165181, 
9388160,2,6,f,19,0,.992307615287064,-.499609313437044,2
9388299,2,6,m,49,.0546875,.152480054358158,-.603864533268978,0
9388300,2,6,f,43,0,.590796267227894,.237061727107778,1
9388307,2,6,m,48,0, ,-.682256233707758, 
9388387,2,6,f,40,0,-.421972263919518,.0218986824993668, 
9388480,3,6,f,63,0,.780352745609802,.417710567162889,0
9388523,1,6,f,20,0,1.2379427085659,.606185635673532,0
9388566,3,6,f,24,.0078125,.847100438566367,.919690066848112,0
9388579,2,6,m,30,0,-.0859783249767849,-.107594884895853,0
9388589,2,5,f,56,.0078125,1.35858461992873,.253162768972465,0
9388617,2,6,f,20,0,.506171188755526,.338871743084011,-2
9388650,2,6,m,21, , , , 
9388670,2,6,f,31,0,1.11113061351787, , 
9388674,2,5,f,23,.3046875,-.136548125777881,.345993291129229,-3
9388710,2,6,f,33,0,1.15993933778109,-.360658840227955,0
9388749,2,6,m,18,0,.0748019294433325,.429004141368719,1
9388759,2,6,f,46,0,.881472618623342,-.514778563586365,-3
9388784,1,6,m,19, , , , 
9388873,1,9,f,37,0,1.45398430420861,-.30760404709932,0
9389005,2,6,f,20,.25,1.16668651204212, , 
9389049,2,6,m,18,0,.813792235378121,.12181732523547,0
9389075,1,9,f,21,.0234375,.163301404355416,-.694939603474097,-3
9389278,2,6,f,48,0,-.361680595272028,.415212471208653,-1
9389342,.,6,f,60,0,.205939337461166,-.921532018141513,-3
9389361,1,6,f,38,0,.628562987044967,-.164601816701423,0
9389448,2,6,f,44,0,-.320627064112795,-.492555355359807,1
9389461,1,9,f,28,0,.900581667304523,.322328003809002,1
9389506,2,6,f,37,0,.370868053515637,-.280452455465434,-2
9389656,1,8,m,18,0,.722148380394731,.174466328326664,0
9389658,1,8,m,54,0,.305696087948154,.0734995883409376,0
9389678,2,6,m,18,0,.671707228857477,-.130409319822242, 
9389693,2,6,f,33,0,1.06690560090876,-.420825542659646,0
9389839,2,6,f,27,0,.317145004611747,.0697023685660909,0
9389930,2,6,f,24,0, , , 
9389945,2,5,f,22,0,.329429449117999,-.8118299921162,0
9389951,.,6,f,31,0,-.350861754270254,-.533403642676729,-2
9389952,2,6,f,18,.0390625,.543381663495436,.355743191360295,1
9389980,2,6,m,46,0,.689636363819317,-.248260346110252,-2
9389986,2,6,f,38,0,.441264296268949,.287022908677514,-2
