pdf_filename,paper_id,OA_data_shared,OA_code_shared,OA_source_data_shared,OA_notes_external,OA_notes_internal,flagged
Villadsen_JournPubAdRes_2011_5E2q,5E2q,no,no,NA,NA,NA,NA
Rozenkrants_JournConsRes_2017_5JE,5JE,no,no,NA,NA,"There is a link, but it looks like to me it was to view the qualtrics survey itself not data or code, however, I can't access it so could you take a look just to make sure https://stanfordgsb.ca1.qualtrics.com/jfe/preview/SV_9NV7HmXcBsIMrTn?Q_SurveyVersionID=current&Q_CHL=preview --- yep, no data or code shared",NA
Kyzar_ExChildren_2016_5KEz,5KEz,no,no,NA,NA,Address not found. Looks like they may not have recieved a request for data/code,NA
Crossley_OrgBehavior_2009_5Xaw,5Xaw,no,no,NA,NA,NA,NA
Kennedy_OrgBehavior_2013_5Xeq,5Xeq,no,no,NA,NA,NA,NA
Fredslund_SocSciMed_2018_74VJ,74VJ,no,no,NA,NA,NA,NA
Dant_JournAcaMarkSci_2013_1VbB,1VbB,no,no,NA,NA,NA,NA
Zhang_ExpEco_2009_1VeW,1VeW,no,no,NA,NA,NA,NA
Navarrete_EvoHumanBehavior_2010_1X9W,1X9W,no,no,NA,NA,NA,NA
Zelle_LawHuman_2015_25Yg,25Yg,no,no,NA,NA,NA,NA
RODRIGUEZ_Criminology_2009_2bGO,2bGO,no,no,NA,NA,NA,NA
Triana_JournOrgBehavior_2009_347d,347d,no,no,NA,NA,NA,NA
Filgueiras_covid_3NqJ,3NqJ,no,no,NA,NA,NA,NA
Gallimore_JournEnvPsych_2011_421B,421B,no,no,NA,NA,Shared syntax written as text in the email body,NA
Wissmath_covid_4N88,4N88,no,no,NA,NA,NA,NA
Paarlberg_PubAdminRev_2016_4RBv,4RBv,no,no,NA,NA,NA,NA
Reniers_Demography_2012_4ry8,4ry8,no,no,yes,NA,"""Probably the most efficient way to proceed is to obtain the datafiles from the DHS as there are all publicly available."" Provided link to publicly available source data",NA
Scholes_PsychMed_2010_4wGq,4wGq,no,no,NA,NA,NA,NA
Pfattheicher_JournPerSocPsy_2018_521q,521q,no,no,NA,NA,NA,NA
Hartmann_JournEnvPsych_2010_52WE,52WE,no,no,NA,NA,NA,NA
Chatterjee_JournConsRes_2012_598w,598w,no,no,NA,NA,NA,NA
Mironova_JournExpPoliSci_2014_59Rq,59Rq,yes_private,yes_private,NA,NA,"""Attached are the online appendix for the manuscript, replication data and instructions in stata, and a summary of the analysis script for JEPS Table 1 Amount Sent to Out-groups. """,NA
Raver_JournAppPsych_2010_59bm,59bm,no,no,NA,NA,NA,NA
Damian_EurJournPersonality_2017_7R9G,7R9G,no,no,NA,NA,NA,NA
Berrios_EurJournPersonality_2015_7REZ,7REZ,yes_private,yes_private,NA,NA,"""Attached is the dataset and the corresponding syntax. It may be the case that portions of the code or variable identifiers are unclear. I will be happy to clarify at some point any confusion in this regard.""",NA
Vermeulen_EurJournPersonality_2010_7RR2,7RR2,no,no,NA,NA,NA,NA
Adams_AmJourPoliSci_2011_7XwG,7XwG,no,no,NA,NA,NA,NA
Winters_EduRes_2013_7pBJ,7pBJ,no,no,NA,NA,NA,NA
Schultz_ManagementSci_2010_83P0,83P0,no,no,NA,NA,"""My apologies, it has been too long and too many moves and too many computers. I do not know where the original data is any longer.""",NA
Al-Tammemi_covid_8ePX,8ePX,no,no,NA,NA,NA,NA
de_Fine_Licht_PubAdminRev_2014_8qER,8qER,no,no,NA,NA,NA,NA
Seethaler_ExChildren_2010_8r3v,8r3v,no,no,NA,NA,NA,NA
Zhu_JournMarketRes_2009_8w97,8w97,no,no,NA,NA,NA,NA
Trémolière_Cognition_2012_8wZ0,8wZ0,no,no,NA,NA,"""I had no script regarding the analyses, we merely conducted mixed design analyses of variance, with type of scenario (within-subject) and MS (between-subject) conditions as the independant variables, and the frequency of utilitarian responses as the dependent variable.""",NA
Kirk_AmJournSocio_2011_8y5X,8y5X,no,no,yes,NA,"""Thanks for your interest in replicating the analysis from my study. The study used U.S. Census data which is freely available, as well as survey data from the Project on Human Development in Chicago Neighborhoods. These latter data may be obtained from ICPSR: https://www.icpsr.umich.edu/web/pages/NACJD/guides/phdcn/community-survey.html. My data use agreement from long ago does not allow dissemination, but you can obtain them from ICPSR. We also used Chicago Police Department homicide data, which is in the public record.""",NA
Melamed_SocialForces_2013_8zw7,8zw7,yes_private,yes_private,NA,NA,"""I am attaching the data here along with software code. We used Stata for data processing and descriptive statistics. Those scripts are attached. We used SAS to estimate the mixed models/hierarchical statistical models. That code is attached as well.""",NA
Amsterlaw_ChildDev_2009_9JBX,9JBX,no,no,NA,NA,NA,NA
DIPIETRO_Criminology_2012_9a3a,9a3a,no,no,NA,NA,"Directed us to source data ""the data used for the article you reference came from the PHDCN and Add Health, both of which are restricted data sets.""",NA
Ennser-Jedenastik_JournPubAdRes_2016_9m4l,9m4l,yes_private,yes_private,NA,NA,"""Here are the files. They are quite messy (and analyses were performed on an older version of Stata, so not everything may still work ...)""",NA
Quinn_EduRes_2016_9p01,9p01,no,yes_private,NA,NA,"Directed us to source data ""I’m attaching a zip folder with stata code files for this study.  We used restricted-use data from IES for this study, which requires a restricted-use license, so I’m prohibited from sharing the data files.  But If you read the “read me” doc in the folder, it will explain the replication folder structure and the coding files""",NA
Fevang_JournLabEco_2014_ADPO,ADPO,no,no,yes,NA,"This OA provided a link to their paper where they say that it describes how to get source data. I'm thinking this would count as a yes to provide instructions on how to access source data but just want to verify with you-- ""The data are, however, accessible through Statistics Norway, provided that the user abides by the confidentiality regulations set by Statistics Norway and national legislation regarding data protection. A brief description of the data and algorithms used, with relevant links, can be found here: https://www.journals.uchicago.edu/doi/suppl/10.1086/673400/suppl_file/11325data.pdf"" --- yes this should count as sharing instructions on how to access data, and looks like it's a link to a supplemental file (though can't access as need institutional access)",NA
van Gastel_PsychMed_2013_AOQj,AOQj,no,no,NA,NA,"""Thank you for the email. Based on the previous request I investigated the archives Dr van Gasteren left behind about 8 years ago but could not retrieve that information. While I support your efforts, I am sorry to say that I am not in the position to redo the analysis. We are working on getting all the data available in a repository, so in the future replication attempt can make use of that.""",NA
El Alaoui_JournConsClinPsy_2015_AabX,AabX,no,no,NA,NA,NA,NA
Andreoni_ExpEco_2015_AgQX,AgQX,yes_private,yes_private,NA,NA,"""I believe this .do file and the .dta file will give you all the Tables and Figures from the paper.""-- Asked for followup",NA
Lee_EvoHumanBehavior_2018_AvWY,AvWY,no,no,NA,NA,NA,NA
Radke_PsychologSci_2013_AvmN,AvmN,no,no,NA,NA,NA,NA
Goncalo_OrgBehavior_2012_Ax1j,Ax1j,no,no,NA,NA,NA,NA
Abouk_covid_Aze9,Aze9,no,no,NA,NA,NA,NA
Hyland_covid_Azer,Azer,no,no,NA,NA,Did not recieve PR email,NA
Gerhold_covid_Azg9,Azg9,no,no,NA,NA,"Did not recieve PR email-- "" Maybe we will not be allowed to share all data due to civil clause restrictions (DARPA is Military Research). ""-- asked for followup",NA
Montero-Marin_PsychMed_2018_BByQ,BByQ,no,no,NA,NA,NA,NA
Da_JournFinEco_2009_BKxK,BKxK,no,no,NA,NA,NA,NA
Kavanagh_covid_BNrQ,BNrQ,no,yes_private,NA,NA,"""Happy to share the script file. See attached. Sadly, I cannot share any data as the distancing measures are proprietary to Unacast, but there's a good chance they'll share them upon request.""",NA
Duclos_JournConsRes_2013_BaDx,BaDx,no,no,NA,NA,NA,NA
Persson_AmEcoRev_2018_BbNg,BbNg,no,available,yes,NA,"""Please see the journal website, where all analytic code is already available, as well as information about how to apply for access to the data. ""-- same as the above HELP this one also directs to journal website for how to get access to source code --- Counts as providing info to access data, and changed to ""available"" for code shared as it was found during PR coding",NA
Niehaus_AmEduResJourn_2014_BlRQ,BlRQ,no,no,NA,NA,NA,NA
Bhattacharjee_JournPerSocPsy_2017_Br0x,Br0x,no,no,NA,NA,NA,NA
Locke_JournExpSocPsych_2015_D8e,D8e,no,no,NA,NA,"""Thank you for getting in touch with me. I was contacted about this paper several years ago and provided data back then."" references providing data but I couldn't find it. Could you look into this --- Didn't find any data or code shared",NA
Dimmock_JournFinEco_2016_Dpxe,Dpxe,no,no,NA,NA,NA,NA
Zumeta_ExChildren_2012_EAl3,EAl3,no,no,NA,NA,"""I no longer have access to these outputs as this work was done well over a decade ago""",NA
Biron_JournAppPsych_2012_EGLZ,EGLZ,no,no,NA,NA,NA,NA
Sussman_HealthPsych_2012_ERRx,ERRx,no,no,NA,NA,NA,NA
Jeandarme_LawHuman_2017_G4DD,G4DD,no,no,NA,NA,NA,NA
