"paper_id","rr_id","data_available","data_location_description","data_notes"
"8R9d","9kgg","Yes","Data and code were linked to in original paper and the journal's website (https://onlinelibrary.wiley.com/doi/abs/10.1002/per.2157), and are hosted on the OSF: https://osf.io/craky/",NA
"AvOr","24716","Yes","Data were linked to in original paper and journal's website (https://journals.sagepub.com/doi/full/10.1177/0956797618756862#supplementary-materials) and are hosted on the OSF: https://osf.io/qenhu/?view_only=a214ad4886e64dcf8a57048fbde1dfbb",NA
"AvOr","92g","Yes","Data were linked to in original paper and journal's website (https://journals.sagepub.com/doi/full/10.1177/0956797618756862#supplementary-materials) and are hosted on the OSF: https://osf.io/qenhu/?view_only=a214ad4886e64dcf8a57048fbde1dfbb",NA
"E4Am","m5y9","Yes","Data and code were not linked in the paper but can be found here: https://osf.io/gfytw/",NA
"EQxa","6738","Yes","Some data were linked to the corresponding author's website (https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-i/faecher-und-institute/psychologie/professuren/cognitive-psychology/team/bernhard-pastoetter) under ""public OSF profile"" and are hosted on the OSF: https://osf.io/w9vcz/","This OSF project only includes data for one experiment in the paper"
"Kj9d","16yz","Yes","Data were linked to in original paper, and are located on the journal's website: https://www.sciencedirect.com/science/article/abs/pii/S0010027716300580?via%3Dihub",NA
"LbEB","6zzo6","Yes","Data and code were linked in the original paper. Data are hosted on the OSF (https://osf.io/hrb3u/?view_only=d374ae90615d4e5993ee1c502493673d), and code is hosted on Github (https://github.com/NYUCCL/LearningTrap).",NA
"rjb","9kzy","Yes","Data and code were linked in the corresponding author's website (https://andyluttrell.com/) and are hosted on the OSF: https://osf.io/e7zb2/?view_only=",NA
"yJwG","9ky","Yes","Data were linked to in original paper and are located on the journal's website: https://www-sciencedirect-com.proxy1.library.virginia.edu/science/article/pii/S0010027717300987?via%3Dihub#ec-research-data",NA
"yypJ","6g38","Yes","Data were linked in the original paper, and are located on the publisher Science Direct website: https://www.sciencedirect.com/science/article/abs/pii/S1090513816301118?via%3Dihub","Data was linked through the original paper and was available on the publisher website under ""supplemental materials"". Access to the supplemental materials requires institutional access. All data seem to be available within the file shown as ""Download Comma Separated Value File."" Another file shown as ""Download Spreadsheet,"" contains a codebook."
"zK2","m5g9","Yes","Data and code were linked in the original paper, and are located on the OSF: https://osf.io/u7tkp/",NA
"zlm2","9977","Yes","Data were linked to in the original paper and are located on the publisher website under the section ""Supplementary Materials"": https://www.sciencedirect.com/science/article/pii/S1090513814000245?via%3Dihub#s0235",NA
"0qar","6my96","Yes","Data were linked to in original paper as well as on journal's website (https://www.sciencedirect.com/science/article/abs/pii/S0010027717303062) and are hosted on the OSF: https://osf.io/gqvsh/",NA
"0qar","756g","Yes","Data were linked to in original paper as well as on journal's website (https://www.sciencedirect.com/science/article/abs/pii/S0010027717303062) and are hosted on the OSF: https://osf.io/gqvsh/",NA
"8R9d","69yok","Yes","Data and code were linked to in original paper and the journal's website (https://onlinelibrary.wiley.com/doi/abs/10.1002/per.2157), and are hosted on the OSF: https://osf.io/craky/",NA
"AvOr","21352","Yes","Data were linked to in original paper and journal's website (https://journals.sagepub.com/doi/full/10.1177/0956797618756862#supplementary-materials) and are hosted on the OSF: https://osf.io/qenhu/?view_only=a214ad4886e64dcf8a57048fbde1dfbb",NA
"AvOr","mzk9","Yes","Data were linked to in original paper and journal's website (https://journals.sagepub.com/doi/full/10.1177/0956797618756862#supplementary-materials) and are hosted on the OSF: https://osf.io/qenhu/?view_only=a214ad4886e64dcf8a57048fbde1dfbb",NA
"E4Am","69y39","Yes","Data and code were not linked in the paper but can be found here: https://osf.io/gfytw/",NA
"E4Am","93mg","Yes","Data and code were not linked in the paper but can be found here: https://osf.io/gfytw/",NA
"EAa","675g9","Yes","Data was not linked in the original paper, but seem to be located on the OSF: https://osf.io/5q9sk/","One .sav file with no description may contain all data may not"
"EQxa","3z3k","Yes","Some data were linked to the corresponding author's website (https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-i/faecher-und-institute/psychologie/professuren/cognitive-psychology/team/bernhard-pastoetter) under ""public OSF profile"" and are hosted on the OSF: https://osf.io/w9vcz/","This OSF project only includes data for one experiment in the paper"
"LbEB","21mg2","Yes","Data and code were linked in the original paper. Data are hosted on the OSF (https://osf.io/hrb3u/?view_only=d374ae90615d4e5993ee1c502493673d), and code is hosted on Github (https://github.com/NYUCCL/LearningTrap).",NA
"YabW","2y474","Yes","Data and code were linked in the original paper, and are located on the OSF: https://osf.io/n7zv3/","2 excel files"
"rjb","67116","Yes","Data and code were linked in the corresponding author's website (https://andyluttrell.com/) and are hosted on the OSF: https://osf.io/e7zb2/?view_only=",NA
"rjb","y730","Yes","Data and code were linked in the corresponding author's website (https://andyluttrell.com/) and are hosted on the OSF: https://osf.io/e7zb2/?view_only=",NA
"yJwG","2kgy8","Yes","Data were linked to in original paper and are located on the journal's website: https://www-sciencedirect-com.proxy1.library.virginia.edu/science/article/pii/S0010027717300987?via%3Dihub#ec-research-data",NA
"yypJ","zmg9","Yes","Data were linked in the original paper, and are located on the publisher Science Direct website: https://www.sciencedirect.com/science/article/abs/pii/S1090513816301118?via%3Dihub","Data was linked through the original paper and was available on the publisher website under ""supplemental materials"". Access to the supplemental materials requires institutional access. All data seem to be available within the file shown as ""Download Comma Separated Value File."" Another file shown as ""Download Spreadsheet,"" contains a codebook."
"zK2","245w6","Yes","Data and code were linked in the original paper, and are located on the OSF: https://osf.io/u7tkp/",NA
"zlm2","675wo","Yes","Data were linked to in the original paper and are located on the publisher website under the section ""Supplementary Materials"": https://www.sciencedirect.com/science/article/pii/S1090513814000245?via%3Dihub#s0235",NA
"yypJ","21952","Yes","Data were linked in the original paper, and are located on the publisher Science Direct website: https://www.sciencedirect.com/science/article/abs/pii/S1090513816301118?via%3Dihub","Data was linked through the original paper and was available on the publisher website under ""supplemental materials"". Access to the supplemental materials requires institutional access. All data seem to be available within the file shown as ""Download Comma Separated Value File."" Another file shown as ""Download Spreadsheet,"" contains a codebook."
"zK2","5698","Yes","Data and code were linked in the original paper, and are located on the OSF: https://osf.io/u7tkp/",NA
"0qar","20g","Yes","Data were linked to in original paper as well as on journal's website (https://www.sciencedirect.com/science/article/abs/pii/S0010027717303062) and are hosted on the OSF: https://osf.io/gqvsh/",NA
"Kj9d","5196","Yes","Data were linked to in original paper, and are located on the journal's website: https://www.sciencedirect.com/science/article/abs/pii/S0010027716300580?via%3Dihub",NA
"zlm2","128g6","Yes","Data were linked to in the original paper and are located on the publisher website under the section ""Supplementary Materials"": https://www.sciencedirect.com/science/article/pii/S1090513814000245?via%3Dihub#s0235",NA
"EQxa","6m396","Yes","Some data were linked to the corresponding author's website (https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-i/faecher-und-institute/psychologie/professuren/cognitive-psychology/team/bernhard-pastoetter) under ""public OSF profile"" and are hosted on the OSF: https://osf.io/w9vcz/","This OSF project only includes data for one experiment in the paper"
"rjb","24316","Yes","Data and code were linked in the corresponding author's website (https://andyluttrell.com/) and are hosted on the OSF: https://osf.io/e7zb2/?view_only=",NA
"8R9d","23312","Yes","Data and code were linked to in original paper and the journal's website (https://onlinelibrary.wiley.com/doi/abs/10.1002/per.2157), and are hosted on the OSF: https://osf.io/craky/",NA
"LbEB","69736","Yes","Data and code were linked in the original paper. Data are hosted on the OSF (https://osf.io/hrb3u/?view_only=d374ae90615d4e5993ee1c502493673d), and code is hosted on Github (https://github.com/NYUCCL/LearningTrap).",NA
"YabW","24773","Yes","Data and code were linked in the original paper, and are located on the OSF: https://osf.io/n7zv3/","2 excel files"
"LbEB","gz7m","Yes","Data and code were linked in the original paper. Data are hosted on the OSF (https://osf.io/hrb3u/?view_only=d374ae90615d4e5993ee1c502493673d), and code is hosted on Github (https://github.com/NYUCCL/LearningTrap).",NA
"EAa","yz66","Yes","Data was not linked in the original paper, but seem to be located on the OSF: https://osf.io/5q9sk/","One .sav file with no description may contain all data may not"
"yypJ","2k3w2","Yes","Data were linked in the original paper, and are located on the publisher Science Direct website: https://www.sciencedirect.com/science/article/abs/pii/S1090513816301118?via%3Dihub","Data was linked through the original paper and was available on the publisher website under ""supplemental materials"". Access to the supplemental materials requires institutional access. All data seem to be available within the file shown as ""Download Comma Separated Value File."" Another file shown as ""Download Spreadsheet,"" contains a codebook."
"8R9d","285g","Yes","Data and code were linked to in original paper and the journal's website (https://onlinelibrary.wiley.com/doi/abs/10.1002/per.2157), and are hosted on the OSF: https://osf.io/craky/",NA
"LbEB","y041","Yes","Data and code were linked in the original paper. Data are hosted on the OSF (https://osf.io/hrb3u/?view_only=d374ae90615d4e5993ee1c502493673d), and code is hosted on Github (https://github.com/NYUCCL/LearningTrap).",NA
"AvOr","6917o","Yes","Data were linked to in original paper and journal's website (https://journals.sagepub.com/doi/full/10.1177/0956797618756862#supplementary-materials) and are hosted on the OSF: https://osf.io/qenhu/?view_only=a214ad4886e64dcf8a57048fbde1dfbb",NA
"EQxa","2kk4o","Yes","Some data were linked to the corresponding author's website (https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-i/faecher-und-institute/psychologie/professuren/cognitive-psychology/team/bernhard-pastoetter) under ""public OSF profile"" and are hosted on the OSF: https://osf.io/w9vcz/","This OSF project only includes data for one experiment in the paper"
