rr_id,paper_id,project_guid,field,generalizability,outcome,results_available,reg,prereg_activity,prereg_completion,osf_activity,registrations,prereg_links,num_prereg,all_types,type,projects_revisit,multi_type,notes
6708,R3eV,dhvbg,covid,FALSE,TRUE,NA,TRUE,NA,NA,NA,u83qg,https://docs.google.com/document/d/1YjqJoM4exPRyJPT2k2CBhJdqFHgRiFu6vH9rgZ7Txoo/edit?usp=drivesdk,1,Hybrid,Hybrid,NA,NA,NA
k6y7,5Kgq,62xh4,sociology,FALSE,TRUE,NA,TRUE,NA,NA,NA,g9hy3,https://docs.google.com/document/d/10DcRRYcusAhHcCuffdKsyKK7DiirnItX6r3EJUWAMs4/edit?usp=drivesdk,1,"Data Analytic Replication, Hybrid",Data Analytic Replication,NA,NA,NA
9k2y,9wya,4w5g2,political science,FALSE,TRUE,NA,TRUE,NA,NA,NA,beqn5,https://docs.google.com/document/d/14Dwjq0NxiXzWcwWkUba3sSHYUupKrE7FnZbk6A1LRY8/edit?usp=drivesdk,1,"Data Analytic Replication, Hybrid, Source Data Reproduction",Data Analytic Replication,NA,NA,NA
mym7,p2qE,p9hjt,covid,FALSE,TRUE,NA,TRUE,NA,NA,NA,d8un9,https://docs.google.com/document/d/1QXGoB6ujsFYkT6Q3W4XpgNwgwA0LjpRjkagkAPFMsOk/edit?usp=drivesdk,1,"Hybrid, Source Data Reproduction",Hybrid,NA,NA,NA
k127,qKPb,q49dy,covid,FALSE,TRUE,NA,TRUE,NA,NA,NA,csbhw,https://docs.google.com/document/d/16Nan9zi-joDgZRphG4X63xHPZznV2YwY7znWun9uFSQ/edit?usp=drivesdk,1,Hybrid,Hybrid,NA,NA,NA
kzyz,kXp8,925nz,management,FALSE,TRUE,NA,TRUE,NA,NA,NA,2bzsx,https://docs.google.com/document/d/1triEHe8GnVienOpJp2teGNcMOZ-sPppTphXDfEdPGE8/edit?usp=drivesdk,1,"Data Analytic Replication, Hybrid, Source Data Reproduction",Data Analytic Replication,NA,NA,NA
y4y0,vmxO,dbw54,political science,FALSE,TRUE,NA,TRUE,NA,NA,NA,dqcks,https://docs.google.com/document/d/1s2sI1ldxcpwwvMAWsIcU3JODU6-U0OjvycFo3DRH_xc/edit?usp=drivesdk,1,Hybrid,Hybrid,NA,NA,NA
g241,0PZl,zfxk9,political science,FALSE,TRUE,NA,TRUE,NA,NA,NA,v8qkz,https://docs.google.com/document/d/1mjfD6siV2wQRoFqaO-k0H369Q3ped5BDJT8Y-VqPRaU/edit?usp=drivesdk,1,"Hybrid, Source Data Reproduction",Hybrid,NA,NA,NA
615k,R3pV,w7gdb,covid,FALSE,TRUE,NA,TRUE,NA,NA,NA,2kd4e,https://docs.google.com/document/d/1Xfno41DlQJ0Xls3RLpIS7xBYSRnSHtKFM2nyNvw9nbU/edit?usp=drivesdk,1,"Hybrid, Source Data Reproduction",Hybrid,NA,NA,NA
2yg,qgWj,kgqu5,political science,FALSE,TRUE,NA,TRUE,NA,NA,NA,ebyuf,https://docs.google.com/document/d/1dmN_ZA8Wu-RWxJfCAisluUQUTf_F7wwk8nkREj_iVp8/edit?usp=drivesdk,1,"Data Analytic Replication, Hybrid",Data Analytic Replication,NA,NA,NA
